ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901005091001033  304.5843774571  -58.0951458505 16.84 7
901005091007329  304.8658458631  -57.9765922857 17.02 7
901005091108982  305.3987663863  -57.9385525218 17.34 6
901005091208679  305.8878981800  -58.0368460708 17.10 7
901005091308876  306.3869956857  -58.0247398485 16.76 7
901005091501864  306.9788415476  -58.1145076416 17.12 7
901005091502762  307.0249456526  -58.0575419981 17.50 5
901005091503864  307.0785802596  -57.9018482059 17.57 5
901005091506221  307.1917012778  -57.9627440052 16.79 7
901005091508274  307.2878853728  -57.9698123091 17.74 5
901005091606817  307.6651903184  -57.9704680422 17.03 7
901005091607050  307.6749850445  -57.9058884419 17.42 6
901005122900400   93.7406264125  -57.8322879351 16.89 7
901005122911832   94.1303587553  -57.7488548760 16.79 7
901005123001624   94.2559585666  -57.8671830158 16.69 7
901005123010376   94.5895163939  -57.8606121340 17.03 7
901005123100593   94.6828409425  -57.7634051149 16.78 7
901005123100839   94.6929099047  -57.6501892964 16.70 7
901005123106427   94.9180931298  -57.7426964603 17.95 5
901005123107851   94.9774431703  -57.8620527011 17.09 7
901005123109088   95.0275924074  -57.6799541556 16.76 7
901005123202161   95.2080790452  -57.7634009397 17.36 6
901005123206898   95.4079496294  -57.6665142399 16.79 7
901005123207710   95.4396820870  -57.8118741681 16.60 7
901005123208843   95.4887275174  -57.7979862069 17.16 7
901005123211252   95.5896046195  -57.6863134311 17.19 7
901005123303778   95.7549260451  -57.6692491005 16.83 7
901005123400344   96.0768750285  -57.7122937235 16.62 7
901005123401312   96.1285609108  -57.8301671170 16.74 7
901005123403810   96.2620291232  -57.7151760860 17.96 5
901005123406444   96.3954442825  -57.8170955155 16.74 7
901005123502703   96.6813225713  -57.8135977745 17.58 5
901005123701622   97.5387670647  -57.8582463077 17.12 7
901005123703126   97.6332213282  -57.7502934656 17.31 6
901005123705561   97.7917955037  -57.7059810250 16.77 7
901005123707634   97.9152889189  -57.6425621765 16.96 7
901005123801158   97.9954686361  -57.7918804770 16.60 7
901005123805379   98.2403937289  -57.8027105335 17.12 7
901005123901984   98.5233228574  -57.6804512287 16.91 7
901005123902185   98.5364728241  -57.7687503157 17.73 5
901005123903125   98.6037800283  -57.6449161526 16.97 7
901005123903896   98.6574535103  -57.7981842906 17.11 7
901005123904229   98.6777861640  -57.6999363132 16.81 7
901005123904432   98.6918091408  -57.8238068575 17.84 5
901005167302149  300.8678053041  -57.7829656303 17.40 6
901005167303623  300.9363449814  -57.8693343952 16.71 7
901005167306857  301.0867136398  -57.6703582240 17.83 5
901005167502528  301.8245900043  -57.8280288791 17.18 7
901005167600959  302.2138798778  -57.7518373229 17.59 5
901005167604719  302.3798488365  -57.8634497947 16.81 7
901005167606815  302.4768888144  -57.6527215525 16.72 7
901005167608386  302.5493228303  -57.6385001666 17.76 5
901005167702785  302.7625722487  -57.7607204115 16.65 7
901005167703313  302.7870410798  -57.7582562578 16.97 7
901005167703928  302.8190433773  -57.8146250016 16.91 7
901005167705595  302.8893025535  -57.6370012511 17.02 7
901005167907449  303.8985168529  -57.7773403657 16.84 7
901005167910179  304.0170216333  -57.7555845241 17.90 5
901005168101664  304.5840720390  -57.8557763439 17.42 6
901005168106857  304.8241010981  -57.6906416541 17.02 7
901005168203424  305.1261408020  -57.6622019710 17.23 7
901005168205980  305.2498601081  -57.7399293951 16.78 7
901005168303479  305.6151526927  -57.8120763521 16.69 7
901005168304025  305.6397356871  -57.6780507953 17.29 6
901005168308136  305.8275836484  -57.8226247535 16.80 7
901005168504733  306.6126130243  -57.8067129756 17.37 6
901005168604916  307.0872101227  -57.8688802803 17.31 6
901005168702394  307.4299450292  -57.6685446350 17.92 5
901005168708207  307.6957475461  -57.6509930296 16.74 7
901005168805477  308.0400555756  -57.6983161568 17.79 5
901005200000147   92.5470660546  -57.3936089764 17.63 5
901005200006192   92.8051489148  -57.4553113767 17.55 5
901005200206780   93.6981340453  -57.4582135708 17.14 7
901005200302403   94.0124459276  -57.4233451367 16.77 7
901005200405326   94.6065481431  -57.5045097128 16.89 7
901005200407191   94.6835997578  -57.4811851673 17.18 7
901005200409424   94.7779062044  -57.4106708865 16.86 7
901005200501957   94.9361004648  -57.4741879761 16.61 7
901005200507897   95.1881208374  -57.4997477303 17.46 6
901005200509804   95.2671521671  -57.3851595493 17.61 5
901005200600211   95.3268687770  -57.5164523644 17.68 5
901005200603193   95.4399151855  -57.4297823636 17.55 5
901005200606940   95.5865293716  -57.5771385129 16.69 7
901005200610570   95.7523210093  -57.4133550643 16.80 7
901005200708116   96.1755797187  -57.5142894023 17.08 7
901005200803275   96.4051092931  -57.5560363745 16.80 7
901005200805218   96.5091917380  -57.4412660073 16.64 7
901005200901924   96.8208613592  -57.4670054023 17.13 7
901005200904779   96.9853759473  -57.5876697039 17.38 6
901005200907224   97.1315521585  -57.5129915347 16.82 7
901005201001774   97.2607751085  -57.5275307638 17.17 7
901005201103940   97.8589807252  -57.4188236964 17.17 7
901005201105768   97.9592732510  -57.5823074731 16.61 7
901005201301015   98.6234040049  -57.5489616412 17.51 5
901005201303026   98.7597630374  -57.4591573389 17.09 7
901005201303478   98.7890640889  -57.4165210143 17.26 6
901005201402612   99.2340538376  -57.5619927165 17.39 6
901005201403200   99.2836431648  -57.4833403878 17.03 7
901005201403319   99.2939018833  -57.5659096168 17.88 5
901005245002232  300.8823680899  -57.5775259906 16.95 7
901005245002480  300.8946824273  -57.4884958581 17.33 6
901005245100209  301.2395154811  -57.3928618395 16.95 7
901005245303955  302.3099200258  -57.4467887806 16.68 7
901005245305385  302.3698117253  -57.5413912934 16.96 7
901005245404750  302.7882564539  -57.5674566966 17.29 6
901005245509982  303.4801582986  -57.4462025944 17.46 6
901005245603449  303.6806456661  -57.3767922614 17.86 5
901005245604941  303.7364264800  -57.5463956235 17.66 5
901005245700522  304.0254216806  -57.3925584618 17.05 7
901005245701690  304.0754727953  -57.4424322076 17.04 7
901005245702088  304.0929521074  -57.5956730550 17.37 6
901005245805073  304.6958711972  -57.4813108475 16.98 7
901005245806014  304.7375666320  -57.4018247003 16.68 7
901005245810446  304.9313108582  -57.5379917198 17.80 5
901005245902517  305.0392367763  -57.5630994343 17.98 5
901005245908029  305.2829626796  -57.6096156335 17.72 5
901005246000180  305.4021416816  -57.3966434908 17.55 5
901005246007244  305.7288820804  -57.5658355035 17.28 6
901005246008940  305.8046939724  -57.4721016359 17.00 7
901005246103346  306.0018766364  -57.4616956762 16.74 7
901005246200455  306.3456485566  -57.4090378816 17.85 5
901005246201921  306.4192428577  -57.4817830250 17.35 6
901005246202710  306.4598153349  -57.5778597457 17.36 6
901005246204455  306.5498422945  -57.3770156764 17.61 5
901005246204595  306.5565674183  -57.4343929835 16.70 7
901005246205804  306.6168060550  -57.4007541475 17.54 5
901005246304645  307.0407363619  -57.4111329164 17.11 7
901005246307541  307.1922040361  -57.5228378921 17.70 5
901005246404774  307.4647866326  -57.5716192905 16.86 7
901005246406780  307.5595629532  -57.5663663417 17.95 5
901005246407536  307.6026514728  -57.5814442435 17.08 7
901005246407554  307.6040267026  -57.3808869413 16.71 7
901005246407677  307.6105161839  -57.5361394267 17.38 6
901005246504613  307.9404647007  -57.5220438317 17.00 7
901005246506037  308.0173126012  -57.3865048939 17.11 7
901005277900527   92.5496999770  -57.3039700095 17.37 6
901005277904707   92.7333053421  -57.1498619436 16.69 7
901005277906781   92.8307827397  -57.2801155866 17.34 6
901005278005723   93.2249549050  -57.2551262191 17.29 6
901005278108526   93.7927953337  -57.2611977054 17.39 6
901005278110382   93.8652897687  -57.1929311914 17.49 6
901005278200856   93.9422221783  -57.1381583688 17.16 7
901005278211812   94.3621570992  -57.2542927759 16.98 7
901005278305384   94.6054415454  -57.2880059516 17.66 5
901005278309046   94.7642343588  -57.1835460428 16.79 7
901005278309497   94.7838464201  -57.2633680462 17.79 5
901005278507523   95.5836609594  -57.1438515913 17.18 7
901005278511053   95.7296921542  -57.1528856728 16.72 7
901005278603977   95.9241001947  -57.2152508002 17.32 6
901005278609424   96.1746304867  -57.1274566795 16.86 7
901005278700313   96.2259221823  -57.1412259325 17.41 6
901005278701996   96.3141134699  -57.1256506166 17.38 6
901005278705460   96.4905087293  -57.3550168901 17.69 5
901005278808217   97.0672963112  -57.1711219471 17.69 5
901005278903554   97.2969070585  -57.2068193203 16.64 7
901005279003388   97.7799795587  -57.2160096969 17.20 7
901005279005654   97.9008040924  -57.3424986887 17.72 5
901005279100508   98.0717398403  -57.2098968656 16.70 7
901005279101601   98.1264379250  -57.1312711443 17.92 5
901005279103522   98.2326482108  -57.2915503554 17.26 6
901005279103540   98.2335688941  -57.2428961323 16.80 7
901005279205652   98.8614433990  -57.2928106099 17.56 5
901005279300796   99.0326026969  -57.3290848060 17.19 7
901005323100303  300.6290572938  -57.2125040578 17.89 5
901005323101740  300.7088713921  -57.1332413742 16.77 7
901005323102394  300.7446193733  -57.2827999838 16.86 7
901005323201670  301.1474042488  -57.3305569600 17.99 5
901005323203159  301.2271760291  -57.2226078611 16.64 7
901005323205328  301.3351817935  -57.1255997785 17.29 6
901005323206403  301.3836085977  -57.2318932202 17.44 6
901005323208886  301.5104529528  -57.3204952669 16.61 7
901005323300329  301.5450542418  -57.1374064436 16.65 7
901005323300529  301.5545070618  -57.2888090804 17.73 5
901005323402651  302.0975936838  -57.2661838999 16.81 7
901005323405460  302.2080200959  -57.2008815448 16.88 7
901005323409964  302.3807044238  -57.1566205809 17.62 5
901005323503554  302.5928595758  -57.2133115846 17.08 7
901005323702015  303.4497414598  -57.2024699730 16.75 7
901005323706667  303.6315393869  -57.1292460611 17.93 5
901005323706742  303.6349605842  -57.1560303928 17.87 5
901005323707537  303.6665760679  -57.2315533158 17.87 5
901005323805913  304.1109059269  -57.1419050449 17.93 5
901005323806215  304.1261521585  -57.2926327913 17.24 7
901005323809782  304.2922604617  -57.3439983483 17.10 7
901005323907284  304.6144521470  -57.3041999188 17.54 5
901005324009220  305.1435093079  -57.1544228659 16.72 7
901005324010275  305.1978488387  -57.1481656385 17.17 7
901005324100492  305.2364744537  -57.2891647951 17.38 6
901005324106877  305.5400364502  -57.3490881652 17.62 5
901005324201285  305.7373886111  -57.3520791658 17.56 5
901005324202245  305.7892760904  -57.3496135867 17.34 6
901005324209727  306.1351017340  -57.1340807684 16.77 7
901005324301931  306.2178090709  -57.2924594661 17.32 6
901005324302440  306.2411295667  -57.3078677745 16.76 7
901005324304779  306.3496706621  -57.2053613223 17.39 6
901005324503562  307.2284017069  -57.2052601903 16.94 7
901005324504758  307.2863936306  -57.3383080642 17.70 5
901005324603541  307.6911932879  -57.3680282812 16.95 7
901005324608550  307.9432130471  -57.1799134547 17.93 5
901005324700621  308.0065060869  -57.1921984268 17.99 5
901005324703252  308.1431078891  -57.2551424739 17.05 7
901005356211210   92.7290822241  -57.0224066170 16.62 7
901005356306155   93.0381313317  -56.9167858005 16.66 7
901005356405202   93.4090240749  -57.0357183605 17.98 5
901005356505110   93.8756957154  -56.9716880815 17.50 6
901005356604813   94.3226853340  -56.9511513727 16.83 7
901005356702610   94.6868031321  -57.1171966790 16.77 7
901005356808740   95.4058180122  -57.0269194818 17.03 7
901005356907313   95.7913304150  -57.0684559057 16.99 7
901005356909866   95.9020984064  -57.0636366033 17.70 5
901005357104316   96.6280078229  -56.8865642758 16.89 7
901005357104590   96.6414868676  -56.9583047775 17.48 6
901005357105849   96.7038417780  -57.0942800099 16.70 7
901005357106180   96.7200750339  -57.0817181331 17.08 7
901005357202564   96.9776139381  -56.8976867472 17.58 5
901005357300236   97.3198817557  -57.0171132070 16.71 7
901005357301536   97.3930358005  -56.9060632892 16.72 7
901005357405856   98.0639516049  -57.0327104341 16.83 7
901005357406822   98.1112372932  -57.0773684072 17.01 7
901005357503127   98.4009451060  -57.1240697111 17.86 5
901005357600936   98.7385331919  -57.0076640011 16.91 7
901005357603469   98.9074673726  -56.8783658343 16.74 7
901005357605771   99.0628315297  -57.0106797238 16.91 7
901005357606269   99.0971869096  -56.8861543093 17.40 6
901005357700137   99.1447106180  -57.0826539108 16.68 7
901005357703307   99.3841915953  -56.8839563935 16.68 7
901005357800153   99.6030897921  -57.1156945309 17.06 7
901005357801433   99.7024911586  -57.0689045211 16.62 7
901005357804188   99.9769467199  -57.1048643144 16.97 7
901005401906762  301.3884838920  -56.8785178660 17.34 6
901005402005506  301.7539386762  -56.8837557757 17.89 5
901005402006911  301.8139897643  -57.0007088736 16.93 7
901005402103669  302.1243827919  -56.9286047439 16.91 7
901005402104623  302.1705428200  -56.8890299454 16.74 7
901005402205422  302.6553082267  -57.0072338038 17.76 5
901005402211208  302.8867528083  -57.0662320569 17.57 5
901005402300211  302.8984588395  -57.0460769203 17.17 7
901005402303278  303.0264967670  -57.0650613210 17.07 7
901005402308860  303.2527142676  -56.9218964829 17.81 5
901005402310737  303.3310466359  -57.0276349019 17.93 5
901005402403217  303.4762648292  -57.1064904383 16.68 7
901005402405144  303.5506734270  -57.0116381114 16.66 7
901005402408074  303.6740975284  -57.0502779943 17.56 5
901005402501889  303.8790747333  -56.9615018273 17.88 5
901005402602443  304.3695923720  -57.0396307716 16.82 7
901005402703728  304.8556822086  -57.0338793530 17.83 5
901005402805375  305.4329710923  -57.0185120228 17.03 7
901005402900144  305.6377291522  -56.9975991890 16.81 7
901005403108035  306.9418257365  -56.9508628026 17.07 7
901005403306269  307.7627649555  -57.0867225108 17.49 6
901005403307557  307.8235515279  -56.9695212437 16.97 7
901005403401735  307.9965775956  -56.8799509156 16.81 7
901005403403804  308.0948374146  -57.0900338491 17.10 7
901005435203220   92.6272429352  -56.6704481057 17.01 7
901005435507713   94.2254273644  -56.7399452146 16.80 7
901005435508522   94.2610360308  -56.6272870732 17.28 6
901005435609108   94.7228853161  -56.7596353889 16.99 7
901005435700603   94.7851835662  -56.6262243681 17.14 7
901005435704555   94.9653218251  -56.6311531336 16.98 7
901005435901998   95.7664165441  -56.8484052728 17.65 5
901005435909000   96.1035244893  -56.8677265439 17.75 5
901005436004023   96.2925299777  -56.6431025968 16.75 7
901005436005584   96.3629861114  -56.7979265215 17.80 5
901005436005696   96.3680398904  -56.6777324725 16.69 7
901005436007795   96.4725402276  -56.7413314871 16.65 7
901005436101178   96.6288557140  -56.6824870258 17.07 7
901005436104844   96.8024782615  -56.7009312473 17.71 5
901005436107433   96.9375352445  -56.8515206940 16.86 7
901005436308632   97.9220292196  -56.8639758921 16.89 7
901005436402083   98.0323062204  -56.7140510610 17.05 7
901005436405381   98.2129613171  -56.7531884642 17.30 6
901005436406963   98.3051227886  -56.8196909130 17.62 5
901005436407426   98.3288741473  -56.8564990183 16.89 7
901005436501039   98.4513227328  -56.8637413316 16.95 7
901005436502877   98.5768582313  -56.7132716232 17.65 5
901005436504928   98.7258943759  -56.7640321674 16.97 7
901005436601227   98.9282866156  -56.7230713038 17.74 5
901005436603904   99.1071934691  -56.7646236534 17.84 5
901005436605145   99.1843768590  -56.8726824572 16.87 7
901005436700113   99.2981142967  -56.7800408898 17.22 7
901005480802954  299.4343264373  -56.8134830098 17.24 7
901005480908453  300.1475836412  -56.7772570228 17.14 7
901005481205442  301.3196626067  -56.6742356440 17.45 6
901005481206303  301.3599155350  -56.6600915350 17.42 6
901005481208926  301.4919983465  -56.8670269274 17.03 7
901005481302192  301.6144649977  -56.7622593617 17.65 5
901005481304459  301.7140866781  -56.6520019201 17.46 6
901005481307040  301.8388879748  -56.8560296942 17.49 6
901005481307559  301.8628209528  -56.7551805448 16.97 7
901005481400622  301.9875126991  -56.6946665455 16.83 7
901005481400627  301.9876750754  -56.7405391790 16.88 7
