ROWID  RA DEC PSFMAG_R
901004021904726   65.4263443923  -61.3779938520 14.32
901004022000666   65.7649400063  -61.5334104916 14.04
901004022001229   65.7879125491  -61.6197407618 13.85
901004022003840   65.9029246855  -61.4246118123 14.04
901004022103579   66.4226608980  -61.5911329003 13.87
901004022106095   66.5322644837  -61.6223890908 14.36
901004022208135   67.1272089642  -61.4201238279 13.47
901004022210606   67.2349789508  -61.6024137474 14.30
901004022401166   67.8587406183  -61.4876962077 13.97
901004022402970   67.9300542500  -61.5551373765 14.32
901004022412334   68.3293603241  -61.4421486249 14.19
901004022510102   68.7769164138  -61.4236836959 13.86
901004022601844   68.9543616948  -61.5863846308 14.35
901004022605903   69.1474095554  -61.3900332125 14.20
901004022608344   69.2505566788  -61.4049492081 13.76
901004022700088   69.3924458052  -61.5519130100 14.30
901004022702141   69.4797247103  -61.5513321415 13.57
901004022702552   69.4982904187  -61.4513931379 13.75
901004022706513   69.6757270315  -61.5288038677 13.39
901004022707839   69.7364380551  -61.4892527342 14.30
901004022804419   70.1134107031  -61.5572611049 14.36
901004022808193   70.2692657208  -61.5621352945 13.56
901004022900814   70.4648952585  -61.4960770290 13.53
901004022905424   70.6653705268  -61.5308509342 13.93
901004022908989   70.8149572035  -61.4679944216 14.00
901004022910724   70.8894789991  -61.6167220846 13.89
901004023005377   71.1713688037  -61.5527451731 14.39
901004023005443   71.1740962020  -61.5225259879 14.06
901004023100655   71.4984799482  -61.5725970344 13.82
901004023103700   71.6338139067  -61.6213225247 13.43
901004023103991   71.6466356339  -61.4930589570 13.74
901004023104919   71.6833930334  -61.4037917254 14.04
901004023108044   71.8196662255  -61.5382198544 13.49
